id,title,state,category
1,What if India and China Switched Places? A Geopolitical Earthquake! [Hook B],AUDIO_GENERATED,what_if
2,What if India and China Switched Places? A Geopolitical Earthquake!,SCRIPT_GENERATED,what_if
3,What If Africa Unified? The Global Supercontinent Awakens [Hook B],SCRIPT_GENERATED,what_if
4,What If Africa Unified? The Global Supercontinent Awakens,SCRIPT_GENERATED,what_if
5,What If Africa Was ONE Country? The World's New Superpower Revealed [Hook B],UPLOADED,what_if
6,What If Africa Was ONE Country? The World's New Superpower Revealed,SCRIPT_GENERATED,what_if
7,The Arctic's Sleeping Giant: Earth's Hidden Methane Time Bomb [Hook B],UPLOADED,geography
8,The Arctic's Sleeping Giant: Earth's Hidden Methane Time Bomb,SCRIPT_GENERATED,geography
9,What If the Panama Canal Was Never Built? [Hook B],UPLOADED,what_if
10,What If the Panama Canal Was Never Built?,SCRIPT_GENERATED,what_if
11,What If Russia Still Controlled the Baltic States? [Hook B],UPLOADED,what_if
12,What If Russia Still Controlled the Baltic States?,SCRIPT_GENERATED,what_if
13,The Hidden Rivers of the Sky: How Invisible Water Highways Shape YOUR Climate [Hook B],UPLOADED,geography
14,The Hidden Rivers of the Sky: How Invisible Water Highways Shape YOUR Climate,SCRIPT_GENERATED,geography
15,"What If Antarctica Was a Lush, Green Continent? [Hook B]",UPLOADED,what_if
16,"What If Antarctica Was a Lush, Green Continent?",SCRIPT_GENERATED,what_if
