date,type,topic
2026-06-22T18:12:43.799175,video,What If Video
2026-06-22T18:21:15.814026,video,What If Video
2026-06-22T18:39:07.425064,video,What If Video
2026-06-22T19:02:35.067070,video,Geography Reel Video
2026-06-22T19:30:00.000000,video,What if India and China switched places?
2026-06-22T19:30:01.000000,video,What if Africa became one country?
2026-06-22T19:53:56.420704,video,What If Scenario Video
2026-06-22T20:34:46.092562,video,What If Scenario Video
2026-06-22T22:49:38.710548,video,Geography Reel Video
2026-06-22T23:08:53.901535,video,What If Scenario Video
2026-06-22T23:53:05.654724,video,Geography Reel Video
2026-06-23T00:12:53.502262,video,What If Scenario Video
2026-06-23T01:21:52.561557,video,What If Scenario Video
2026-06-23T05:43:31.217576,video,Geography Reel Video
2026-06-23T06:17:16.489581,video,Geography Reel Video
2026-06-23T07:31:53.142022,video,What If Scenario Video
2026-06-23T08:22:42.793935,video,What If Scenario Video
2026-06-23T09:28:55.701142,video,Geography Reel Video
2026-06-23T10:25:03.716005,video,Geography Reel Video
2026-06-23T11:35:18.843358,video,Geography Reel Video
2026-06-23T12:28:51.096866,video,Geography Reel Video
2026-06-23T13:31:01.542222,video,Geography Reel Video
2026-06-23T14:31:49.124215,video,Geography Reel Video
2026-06-23T17:41:06.054954,video,Geography Reel Video
2026-06-23T19:27:28.894902,video,What If Scenario Video
2026-06-23T20:25:41.762555,video,What If Scenario Video
2026-06-23T22:45:38.991465,video,Geography Reel Video
2026-06-24T07:24:45.270657,video,Geography Reel Video
2026-06-24T08:22:30.399074,video,Geography Reel Video
2026-06-24T09:24:38.732271,video,Geography Reel Video
2026-06-24T10:22:54.037327,video,Geography Reel Video
2026-06-24T10:54:59.372777,video,Geography Reel Video
2026-06-24T11:19:42.151115,video,Geography Reel Video
2026-06-24T12:15:29.006307,video,Geography Reel Video
2026-06-24T13:30:33.656696,video,Geography Reel Video
2026-06-24T16:33:09.355091,video,Geography Reel Video
2026-06-24T18:44:47.629429,video,Geography Reel Video
2026-06-24T19:20:31.851844,video,Geography Reel Video
2026-06-24T20:32:10.892560,video,What If Scenario Video
2026-06-24T22:24:36.854603,video,Geography Reel Video
2026-06-25T00:18:20.379739,video,Geography Reel Video
2026-06-25T03:08:06.515695,video,Geography Reel Video
2026-06-25T06:59:19.463802,video,What If Scenario Video
2026-06-25T07:19:18.231730,video,Geography Reel Video
2026-06-25T09:00:01.692930,video,Geography Reel Video
2026-06-25T09:31:07.750237,video,Geography Reel Video
2026-06-25T10:33:39.302330,video,What If Scenario Video
2026-06-25T11:28:38.278126,video,Geography Reel Video
2026-06-25T12:18:59.650255,video,Geography Reel Video
2026-06-25T13:31:03.461188,video,Geography Reel Video
2026-06-25T14:24:56.336740,video,What If Scenario Video
2026-06-25T15:18:56.143298,video,Geography Reel Video
2026-06-25T16:43:38.607867,video,Geography Reel Video
2026-06-25T19:20:56.181897,video,What If Scenario Video
2026-06-25T21:55:17.973313,video,Geography Reel Video
2026-06-26T00:04:02.824829,video,Geography Reel Video
2026-06-26T03:09:23.706894,video,Geography Reel Video
2026-06-26T07:29:18.890495,video,What If Scenario Video
2026-06-26T08:53:02.205235,video,Geography Reel Video
2026-06-26T09:21:38.119789,video,What If Scenario Video
2026-06-26T10:40:30.601601,video,Geography Reel Video
2026-06-26T12:22:50.025745,video,What If Scenario Video
2026-06-26T13:39:18.280741,video,Geography Reel Video
2026-06-26T14:22:29.765112,video,What If Scenario Video
2026-06-26T15:18:50.079182,video,Geography Reel Video
2026-06-26T16:23:40.991305,video,Geography Reel Video
2026-06-26T19:06:53.465678,video,Geography Reel Video
2026-06-26T20:46:19.582145,video,Geography Reel Video
2026-06-26T22:21:10.367717,video,Geography Reel Video
2026-06-27T00:09:51.093356,video,Geography Reel Video
2026-06-27T02:24:50.594827,video,What If Scenario Video
2026-06-27T06:46:34.347354,video,Geography Reel Video
2026-06-27T07:22:46.665859,video,Geography Reel Video
2026-06-27T08:46:17.484525,video,Geography Reel Video
2026-06-27T09:40:56.485944,video,Geography Reel Video
2026-06-27T10:24:15.503637,video,What If Scenario Video
2026-06-27T11:37:26.811826,video,Geography Reel Video
2026-06-27T12:20:17.370018,video,Geography Reel Video
2026-06-27T13:29:51.983765,video,Geography Reel Video
2026-06-27T15:25:23.330542,video,Geography Reel Video
2026-06-27T17:15:01.803010,video,What If Scenario Video
